WigleWifi-1.4,appRelease=2.25,model=LG-H850,release=7.0,device=h1,display=NRD90U,board=msm8996,brand=lge
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:59:e4:fd,eli,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,11,-73,32.10623413,35.20518958,667,16.687000274658203,WIFI
24:c9:a1:36:52:d8,Ariel_University,[ESS],2017-11-03 16:09:28,11,-77,32.10623413,35.20518958,667,16.687000274658203,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,13,-83,32.10623413,35.20518958,667,16.687000274658203,WIFI
02:02:fb:b2:f2:b9,REL-WIFI,[WEP][IBSS],2017-11-03 16:09:28,11,-80,32.10623413,35.20518958,667,16.687000274658203,WIFI
8c:0c:90:2e:e2:48,Ariel_University,[ESS],2017-11-03 16:09:28,1,-72,32.10623413,35.20518958,667,16.687000274658203,WIFI
f0:3e:90:04:f6:68,Ariel_University,[ESS],2017-11-03 16:09:28,11,-77,32.10623413,35.20518958,667,16.687000274658203,WIFI
94:f6:65:b5:22:b8,,[WPA2-EAP-CCMP][ESS],2017-11-03 16:09:28,1,-73,32.10623413,35.20518958,667,16.687000274658203,WIFI
94:f6:65:35:22:b8,,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,1,-73,32.10623413,35.20518958,667,16.687000274658203,WIFI
94:f6:65:75:22:b8,HAPOALIM,[ESS],2017-11-03 16:09:28,1,-74,32.10623413,35.20518958,667,16.687000274658203,WIFI
8c:0c:90:2d:7a:28,Ariel_University,[ESS],2017-11-03 16:09:28,6,-78,32.10623413,35.20518958,667,16.687000274658203,WIFI
00:11:6b:11:66:39,Meonot,[ESS],2017-11-03 16:09:28,13,-84,32.10623413,35.20518958,667,16.687000274658203,WIFI
1c:b9:c4:16:06:e8,Ariel_University,[ESS],2017-11-03 16:09:28,11,-86,32.10623413,35.20518958,667,16.687000274658203,WIFI
06:ae:db:c2:72:dd,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,11,-81,32.10623413,35.20518958,667,16.687000274658203,WIFI
c4:04:15:4f:ec:85,BezeqNGN_U0162E_2.4GHz_1,[WPS][ESS],2017-11-03 16:09:28,6,-78,32.10623413,35.20518958,667,16.687000274658203,WIFI
f0:3e:90:05:12:88,Ariel_University,[ESS],2017-11-03 16:09:28,6,-83,32.10623413,35.20518958,667,16.687000274658203,WIFI
8c:0c:90:2e:17:b8,Ariel_University,[ESS],2017-11-03 16:09:28,6,-71,32.10623413,35.20518958,667,16.687000274658203,WIFI
68:92:34:4d:5e:23,island-0D5E20,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,13,-81,32.10623413,35.20518958,667,16.687000274658203,WIFI
fc:3f:db:dc:8d:0e,HP-Print-0E-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:28,11,-87,32.10623413,35.20518958,667,16.687000274658203,WIFI
8c:0c:90:2d:7a:98,Ariel_University,[ESS],2017-11-03 16:09:28,1,-64,32.10623413,35.20518958,667,16.687000274658203,WIFI
8c:0c:90:2d:79:48,Ariel_University,[ESS],2017-11-03 16:09:28,11,-77,32.10623413,35.20518958,667,16.687000274658203,WIFI
42502_811_3868449,Cellcom,UNKNOWN;il,2017-11-03 16:09:28,0,-113,32.10623413,35.20518958,667,16.687000274658203,GSM
14:ae:db:59:e4:fd,eli,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:31,11,-66,32.1062441,35.20523597,667,15.170000076293945,WIFI
c4:04:15:4f:ec:85,BezeqNGN_U0162E_2.4GHz_1,[WPS][ESS],2017-11-03 16:09:31,6,-71,32.1062441,35.20523597,667,15.170000076293945,WIFI
c4:12:f5:80:d4:b9,dudu,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:31,1,-71,32.1062441,35.20523597,667,15.170000076293945,WIFI
44:44:44:44:44:44,REL-WIFI,[WEP][IBSS],2017-11-03 16:09:31,11,-78,32.1062441,35.20523597,667,15.170000076293945,WIFI
8c:0c:90:2d:79:58,Ariel_University,[ESS],2017-11-03 16:09:31,1,-73,32.1062441,35.20523597,667,15.170000076293945,WIFI
8c:0c:90:2d:7a:58,Ariel_University,[ESS],2017-11-03 16:09:31,6,-78,32.1062441,35.20523597,667,15.170000076293945,WIFI
24:c9:a1:15:78:08,Ariel_University,[ESS],2017-11-03 16:09:31,11,-82,32.1062441,35.20523597,667,15.170000076293945,WIFI
24:c9:a1:36:4d:c8,Ariel_University,[ESS],2017-11-03 16:09:33,11,-72,32.10615431,35.20517083,655,7.585000038146973,WIFI
f0:3e:90:04:f2:c8,Ariel_University,[ESS],2017-11-03 16:09:33,6,-83,32.10615431,35.20517083,655,7.585000038146973,WIFI
00:11:6b:11:66:39,Meonot,[ESS],2017-11-03 16:09:36,13,-79,32.10616292,35.20521213,653,13.652999877929688,WIFI
8c:0c:90:2f:2c:08,Ariel_University,[ESS],2017-11-03 16:09:36,6,-72,32.10616292,35.20521213,653,13.652999877929688,WIFI
8c:0c:90:2e:0e:88,Ariel_University,[ESS],2017-11-03 16:09:36,6,-80,32.10616292,35.20521213,653,13.652999877929688,WIFI
94:f6:65:b5:22:bc,,[WPA2-EAP-CCMP][ESS],2017-11-03 16:09:38,44,-82,32.10617531,35.20524896,655,15.170000076293945,WIFI
94:f6:65:75:22:bc,HAPOALIM,[ESS],2017-11-03 16:09:38,44,-83,32.10617531,35.20524896,655,15.170000076293945,WIFI
24:c9:a1:35:ba:28,Ariel_University,[ESS],2017-11-03 16:09:38,11,-85,32.10617531,35.20524896,655,15.170000076293945,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2017-11-03 16:09:40,13,-77,32.10617551,35.20528372,656,15.170000076293945,WIFI
